Data,"Tipo Residuo","Peso"
2024-10-31,"Restos Comida","8420,00"
2024-10-31,"Plastico","4540,00"
2024-10-31,"Residuos Limpeza","26980,00"
2024-10-31,"Indiferenciado","247640,00"
2024-10-31,"Cortes de Jardim","86400,00"
2024-10-31,"Papel","31540,00"
2024-10-31,"Vidro","13160,00"
2024-10-31,"Monstros","27440,00"
2024-10-30,"Residuos Limpeza","13980,00"
2024-10-30,"Papel","19220,00"
2024-10-30,"Restos Comida","9320,00"
2024-10-30,"Monstros","24580,00"
2024-10-30,"Vidro","26480,00"
2024-10-30,"Cortes de Jardim","95280,00"
2024-10-30,"Plastico","8280,00"
2024-10-30,"Indiferenciado","237640,00"
2024-10-29,"Indiferenciado","228120,00"
2024-10-29,"Residuos Limpeza","14560,00"
2024-10-29,"Cortes de Jardim","97000,00"
2024-10-29,"Papel","4140,00"
2024-10-29,"Plastico","39020,00"
2024-10-29,"Monstros","22680,00"
2024-10-29,"Vidro","9820,00"
2024-10-29,"Restos Comida","9020,00"
2024-10-28,"Indiferenciado","245140,00"
2024-10-28,"Vidro","5040,00"
2024-10-28,"Residuos Limpeza","53980,00"
2024-10-28,"Cortes de Jardim","99280,00"
2024-10-28,"Papel","37740,00"
2024-10-28,"Monstros","20140,00"
2024-10-28,"Restos Comida","14900,00"
2024-10-28,"Plastico","3860,00"
2024-10-27,"Papel","5340,00"
2024-10-27,"Indiferenciado","210840,00"
2024-10-27,"Monstros","40,00"
2024-10-26,"Cortes de Jardim","102760,00"
2024-10-26,"Indiferenciado","227900,00"
2024-10-26,"Vidro","7200,00"
2024-10-26,"Residuos Limpeza","49000,00"
2024-10-26,"Plastico","4640,00"
2024-10-26,"Restos Comida","7980,00"
2024-10-26,"Papel","12360,00"
2024-10-26,"Monstros","22360,00"
2024-10-25,"Indiferenciado","233920,00"
2024-10-25,"Cortes de Jardim","84040,00"
2024-10-25,"Papel","5800,00"
2024-10-25,"Vidro","14320,00"
2024-10-25,"Monstros","17440,00"
2024-10-25,"Restos Comida","8040,00"
2024-10-25,"Residuos Limpeza","45040,00"
2024-10-25,"Plastico","22660,00"
2024-10-24,"Indiferenciado","231660,00"
2024-10-24,"Papel","29720,00"
2024-10-24,"Cortes de Jardim","108780,00"
2024-10-24,"Residuos Limpeza","19580,00"
2024-10-24,"Plastico","6120,00"
2024-10-24,"Restos Comida","7300,00"
2024-10-24,"Vidro","12000,00"
2024-10-24,"Monstros","25080,00"
2024-10-23,"Cortes de Jardim","127900,00"
2024-10-23,"Papel","17360,00"
2024-10-23,"Restos Comida","9620,00"
2024-10-23,"Plastico","11880,00"
2024-10-23,"Vidro","13120,00"
2024-10-23,"Monstros","17100,00"
2024-10-23,"Indiferenciado","240540,00"
2024-10-23,"Residuos Limpeza","18320,00"
2024-10-22,"Papel","5640,00"
2024-10-22,"Cortes de Jardim","104320,00"
2024-10-22,"Monstros","25640,00"
2024-10-22,"Restos Comida","8740,00"
2024-10-22,"Indiferenciado","259780,00"
2024-10-22,"Residuos Limpeza","18980,00"
2024-10-22,"Vidro","16800,00"
2024-10-22,"Plastico","33060,00"
2024-10-21,"Indiferenciado","259480,00"
2024-10-21,"Monstros","36860,00"
2024-10-21,"Cortes de Jardim","112580,00"
2024-10-21,"Papel","39240,00"
2024-10-21,"Plastico","6060,00"
2024-10-21,"Restos Comida","15000,00"
2024-10-21,"Residuos Limpeza","47600,00"
2024-10-21,"Vidro","7820,00"
2024-10-20,"Papel","4260,00"
2024-10-20,"Monstros","220,00"
2024-10-20,"Indiferenciado","252740,00"
2024-10-19,"Monstros","13380,00"
2024-10-19,"Restos Comida","7140,00"
2024-10-19,"Plastico","960,00"
2024-10-19,"Papel","11620,00"
2024-10-19,"Residuos Limpeza","16500,00"
2024-10-19,"Vidro","12600,00"
2024-10-19,"Indiferenciado","239960,00"
2024-10-19,"Cortes de Jardim","88760,00"
2024-10-18,"Restos Comida","7440,00"
2024-10-18,"Residuos Limpeza","26300,00"
2024-10-18,"Plastico","27740,00"
2024-10-18,"Monstros","19760,00"
2024-10-18,"Vidro","15520,00"
2024-10-18,"Papel","8140,00"
2024-10-18,"Cortes de Jardim","110460,00"
2024-10-18,"Indiferenciado","259480,00"
2024-10-17,"Plastico","4660,00"
2024-10-17,"Indiferenciado","253960,00"
2024-10-17,"Residuos Limpeza","33120,00"
2024-10-17,"Restos Comida","9020,00"
2024-10-17,"Monstros","31820,00"
2024-10-17,"Vidro","6900,00"
2024-10-17,"Papel","30360,00"
2024-10-17,"Cortes de Jardim","117300,00"
2024-10-16,"Indiferenciado","219420,00"
2024-10-16,"Plastico","8920,00"
2024-10-16,"Residuos Limpeza","8860,00"
2024-10-16,"Monstros","28300,00"
2024-10-16,"Restos Comida","8440,00"
2024-10-16,"Papel","22000,00"
2024-10-16,"Vidro","15520,00"
2024-10-16,"Cortes de Jardim","135280,00"
2024-10-15,"Vidro","18280,00"
2024-10-15,"Indiferenciado","254420,00"
2024-10-15,"Papel","4520,00"
2024-10-15,"Cortes de Jardim","124340,00"
2024-10-15,"Restos Comida","8360,00"
2024-10-15,"Plastico","37000,00"
2024-10-15,"Monstros","23820,00"
2024-10-15,"Residuos Limpeza","28880,00"
2024-10-14,"Indiferenciado","263560,00"
2024-10-14,"Vidro","17740,00"
2024-10-14,"Residuos Limpeza","103640,00"
2024-10-14,"Plastico","3340,00"
2024-10-14,"Papel","41380,00"
2024-10-14,"Cortes de Jardim","121740,00"
2024-10-14,"Restos Comida","15260,00"
2024-10-14,"Monstros","26420,00"
2024-10-13,"Indiferenciado","244260,00"
2024-10-13,"Monstros","300,00"
2024-10-13,"Residuos Limpeza","620,00"
2024-10-13,"Papel","3800,00"
2024-10-12,"Papel","11420,00"
2024-10-12,"Cortes de Jardim","211780,00"
2024-10-12,"Vidro","13840,00"
2024-10-12,"Indiferenciado","255040,00"
2024-10-12,"Restos Comida","8160,00"
2024-10-12,"Plastico","4480,00"
2024-10-12,"Residuos Limpeza","39220,00"
2024-10-12,"Monstros","17740,00"
2024-10-11,"Indiferenciado","238520,00"
2024-10-11,"Vidro","16220,00"
2024-10-11,"Restos Comida","10220,00"
2024-10-11,"Monstros","17340,00"
2024-10-11,"Plastico","22400,00"
2024-10-11,"Papel","5820,00"
2024-10-11,"Cortes de Jardim","129720,00"
2024-10-11,"Residuos Limpeza","70280,00"
2024-10-10,"Vidro","6260,00"
2024-10-10,"Monstros","27040,00"
2024-10-10,"Cortes de Jardim","134900,00"
2024-10-10,"Indiferenciado","228640,00"
2024-10-10,"Residuos Limpeza","7360,00"
2024-10-10,"Papel","34180,00"
2024-10-10,"Restos Comida","9700,00"
2024-10-10,"Plastico","5720,00"
2024-10-09,"Cortes de Jardim","122080,00"
2024-10-09,"Papel","15520,00"
2024-10-09,"Monstros","24300,00"
2024-10-09,"Restos Comida","9560,00"
2024-10-09,"Plastico","7800,00"
2024-10-09,"Vidro","15260,00"
2024-10-09,"Residuos Limpeza","14920,00"
2024-10-09,"Indiferenciado","250780,00"
2024-10-08,"Plastico","40360,00"
2024-10-08,"Cortes de Jardim","123740,00"
2024-10-08,"Restos Comida","8880,00"
2024-10-08,"Monstros","25620,00"
2024-10-08,"Papel","7240,00"
2024-10-08,"Indiferenciado","289940,00"
2024-10-08,"Vidro","15440,00"
2024-10-08,"Residuos Limpeza","35080,00"
2024-10-07,"Papel","41160,00"
2024-10-07,"Plastico","3860,00"
2024-10-07,"Restos Comida","13480,00"
2024-10-07,"Monstros","22720,00"
2024-10-07,"Residuos Limpeza","32400,00"
2024-10-07,"Indiferenciado","237020,00"
2024-10-07,"Vidro","7080,00"
2024-10-07,"Cortes de Jardim","117320,00"
2024-10-06,"Papel","5680,00"
2024-10-06,"Indiferenciado","232700,00"
2024-10-05,"Restos Comida","9760,00"
2024-10-05,"Plastico","5200,00"
2024-10-05,"Residuos Limpeza","200,00"
2024-10-05,"Indiferenciado","248460,00"
2024-10-05,"Papel","9020,00"
2024-10-05,"Vidro","16100,00"
2024-10-05,"Monstros","2800,00"
2024-10-05,"Cortes de Jardim","20320,00"
2024-10-04,"Indiferenciado","244700,00"
2024-10-04,"Residuos Limpeza","27320,00"
2024-10-04,"Restos Comida","7540,00"
2024-10-04,"Vidro","13780,00"
2024-10-04,"Plastico","21540,00"
2024-10-04,"Papel","5340,00"
2024-10-04,"Monstros","18300,00"
2024-10-04,"Cortes de Jardim","95440,00"
2024-10-03,"Indiferenciado","231320,00"
2024-10-03,"Residuos Limpeza","37520,00"
2024-10-03,"Papel","28600,00"
2024-10-03,"Cortes de Jardim","105700,00"
2024-10-03,"Plastico","5480,00"
2024-10-03,"Monstros","19760,00"
2024-10-03,"Restos Comida","8000,00"
2024-10-03,"Vidro","14200,00"
2024-10-02,"Vidro","18640,00"
2024-10-02,"Monstros","23600,00"
2024-10-02,"Papel","19360,00"
2024-10-02,"Restos Comida","8300,00"
2024-10-02,"Cortes de Jardim","92920,00"
2024-10-02,"Residuos Limpeza","42820,00"
2024-10-02,"Plastico","9280,00"
2024-10-02,"Indiferenciado","233980,00"
2024-10-01,"Vidro","17480,00"
2024-10-01,"Indiferenciado","250460,00"
2024-10-01,"Restos Comida","8320,00"
2024-10-01,"Residuos Limpeza","35860,00"
