Data,"Tipo Residuo","Peso"
2014-12-31,"Plastico","5540,00"
2014-12-31,"Residuos Limpeza","2700,00"
2014-12-31,"Monstros","720,00"
2014-12-31,"Indiferenciado","282100,00"
2014-12-31,"Vidro","8920,00"
2014-12-31,"Papel","19780,00"
2014-12-30,"Indiferenciado","250340,00"
2014-12-30,"Residuos Limpeza","41100,00"
2014-12-30,"Papel","3860,00"
2014-12-30,"Plastico","18580,00"
2014-12-30,"Vidro","21000,00"
2014-12-30,"Monstros","5940,00"
2014-12-30,"Cortes de Jardim","4600,00"
2014-12-29,"Vidro","10980,00"
2014-12-29,"Indiferenciado","208540,00"
2014-12-29,"Papel","27760,00"
2014-12-29,"Residuos Limpeza","5560,00"
2014-12-29,"Monstros","6560,00"
2014-12-29,"Plastico","1540,00"
2014-12-28,"Indiferenciado","183760,00"
2014-12-28,"Papel","2080,00"
2014-12-27,"Indiferenciado","272820,00"
2014-12-27,"Papel","25400,00"
2014-12-27,"Plastico","2520,00"
2014-12-27,"Vidro","20280,00"
2014-12-27,"Residuos Limpeza","12800,00"
2014-12-27,"Monstros","5420,00"
2014-12-26,"Papel","1980,00"
2014-12-26,"Monstros","2880,00"
2014-12-26,"Vidro","11700,00"
2014-12-26,"Indiferenciado","253160,00"
2014-12-26,"Plastico","14340,00"
2014-12-26,"Residuos Limpeza","3360,00"
2014-12-25,"Papel","9300,00"
2014-12-25,"Indiferenciado","171020,00"
2014-12-25,"Plastico","1480,00"
2014-12-24,"Monstros","660,00"
2014-12-24,"Vidro","9240,00"
2014-12-24,"Indiferenciado","324380,00"
2014-12-24,"Plastico","2300,00"
2014-12-24,"Papel","24440,00"
2014-12-23,"Vidro","18660,00"
2014-12-23,"Indiferenciado","222220,00"
2014-12-23,"Residuos Limpeza","16760,00"
2014-12-23,"Plastico","19120,00"
2014-12-23,"Monstros","6140,00"
2014-12-23,"Papel","1960,00"
2014-12-22,"Vidro","9520,00"
2014-12-22,"Indiferenciado","208500,00"
2014-12-22,"Papel","32420,00"
2014-12-22,"Residuos Limpeza","15540,00"
2014-12-22,"Monstros","10080,00"
2014-12-22,"Plastico","3200,00"
2014-12-21,"Indiferenciado","232480,00"
2014-12-21,"Monstros","280,00"
2014-12-21,"Papel","2280,00"
2014-12-20,"Indiferenciado","253240,00"
2014-12-20,"Papel","6380,00"
2014-12-20,"Cortes de Jardim","3660,00"
2014-12-20,"Plastico","3000,00"
2014-12-20,"Vidro","11940,00"
2014-12-20,"Residuos Limpeza","23840,00"
2014-12-20,"Monstros","2740,00"
2014-12-19,"Papel","2240,00"
2014-12-19,"Indiferenciado","226060,00"
2014-12-19,"Monstros","8260,00"
2014-12-19,"Vidro","2960,00"
2014-12-19,"Residuos Limpeza","11680,00"
2014-12-19,"Plastico","10460,00"
2014-12-18,"Monstros","10300,00"
2014-12-18,"Vidro","8820,00"
2014-12-18,"Papel","16580,00"
2014-12-18,"Plastico","1440,00"
2014-12-18,"Residuos Limpeza","5620,00"
2014-12-18,"Indiferenciado","216680,00"
2014-12-17,"Plastico","6120,00"
2014-12-17,"Papel","10980,00"
2014-12-17,"Vidro","8140,00"
2014-12-17,"Indiferenciado","175560,00"
2014-12-17,"Monstros","6520,00"
2014-12-17,"Residuos Limpeza","6220,00"
2014-12-16,"Papel","3980,00"
2014-12-16,"Plastico","15180,00"
2014-12-16,"Residuos Limpeza","40040,00"
2014-12-16,"Monstros","10040,00"
2014-12-16,"Indiferenciado","252780,00"
2014-12-16,"Vidro","7660,00"
2014-12-15,"Monstros","5960,00"
2014-12-15,"Plastico","1360,00"
2014-12-15,"Papel","33000,00"
2014-12-15,"Residuos Limpeza","14540,00"
2014-12-15,"Vidro","5660,00"
2014-12-15,"Cortes de Jardim","280,00"
2014-12-15,"Indiferenciado","193960,00"
2014-12-14,"Papel","2540,00"
2014-12-14,"Indiferenciado","193980,00"
2014-12-13,"Papel","7960,00"
2014-12-13,"Monstros","7300,00"
2014-12-13,"Indiferenciado","230440,00"
2014-12-13,"Vidro","5120,00"
2014-12-13,"Residuos Limpeza","28660,00"
2014-12-13,"Cortes de Jardim","6980,00"
2014-12-13,"Plastico","5960,00"
2014-12-12,"Monstros","8940,00"
2014-12-12,"Vidro","6060,00"
2014-12-12,"Indiferenciado","188980,00"
2014-12-12,"Plastico","11040,00"
2014-12-12,"Residuos Limpeza","22980,00"
2014-12-12,"Cortes de Jardim","5300,00"
2014-12-12,"Papel","3840,00"
2014-12-11,"Indiferenciado","252540,00"
2014-12-11,"Vidro","4160,00"
2014-12-11,"Monstros","9060,00"
2014-12-11,"Residuos Limpeza","30160,00"
2014-12-11,"Papel","30740,00"
2014-12-11,"Plastico","1800,00"
2014-12-10,"Cortes de Jardim","460,00"
2014-12-10,"Papel","16540,00"
2014-12-10,"Indiferenciado","193580,00"
2014-12-10,"Vidro","12480,00"
2014-12-10,"Residuos Limpeza","60520,00"
2014-12-10,"Monstros","10360,00"
2014-12-10,"Plastico","5920,00"
2014-12-09,"Vidro","7500,00"
2014-12-09,"Indiferenciado","246460,00"
2014-12-09,"Plastico","16960,00"
2014-12-09,"Papel","2440,00"
2014-12-09,"Monstros","12340,00"
2014-12-09,"Residuos Limpeza","44560,00"
2014-12-08,"Papel","1040,00"
2014-12-08,"Plastico","500,00"
2014-12-08,"Indiferenciado","175800,00"
2014-12-08,"Monstros","520,00"
2014-12-07,"Papel","2180,00"
2014-12-07,"Monstros","160,00"
2014-12-07,"Indiferenciado","224360,00"
2014-12-06,"Cortes de Jardim","16280,00"
2014-12-06,"Residuos Limpeza","30820,00"
2014-12-06,"Plastico","2960,00"
2014-12-06,"Monstros","6240,00"
2014-12-06,"Papel","15600,00"
2014-12-06,"Vidro","10340,00"
2014-12-06,"Indiferenciado","246380,00"
2014-12-05,"Residuos Limpeza","19040,00"
2014-12-05,"Monstros","9520,00"
2014-12-05,"Indiferenciado","197240,00"
2014-12-05,"Plastico","12540,00"
2014-12-05,"Papel","2300,00"
2014-12-04,"Indiferenciado","230700,00"
2014-12-04,"Vidro","5060,00"
2014-12-04,"Monstros","5820,00"
2014-12-04,"Plastico","1840,00"
2014-12-04,"Residuos Limpeza","23000,00"
2014-12-04,"Papel","23580,00"
2014-12-03,"Vidro","12260,00"
2014-12-03,"Indiferenciado","227320,00"
2014-12-03,"Papel","11080,00"
2014-12-03,"Plastico","5320,00"
2014-12-03,"Residuos Limpeza","31040,00"
2014-12-03,"Monstros","10060,00"
2014-12-02,"Vidro","8500,00"
2014-12-02,"Indiferenciado","232200,00"
2014-12-02,"Monstros","9500,00"
2014-12-02,"Residuos Limpeza","36860,00"
2014-12-02,"Papel","5920,00"
2014-12-02,"Plastico","16740,00"
2014-12-01,"Indiferenciado","236500,00"
2014-12-01,"Papel","31420,00"
2014-12-01,"Plastico","1620,00"
2014-12-01,"Vidro","6440,00"
